"Frequency / Hz","Vm1:Measured voltage"
16850,7.4745641753045055e-06
16900,2.1239775525236268e-11
16950,8.1834442101351495e-06
17000,2.1340875330439072e-11
17050,8.9895002967358678e-06
17100,2.183072269195702e-11
17150,9.9100556032923951e-06
17200,1.9999688729352637e-11
17250,1.0966550452669424e-05
17300,2.0524829759428139e-11
17350,1.2185334315754333e-05
17400,2.1950501107300477e-11
17450,1.3599082028344715e-05
17500,2.0268034717928459e-11
17550,1.5249002091189725e-05
17600,2.0824171748689382e-11
17650,1.7187159506763896e-05
17700,2.1414612191286195e-11
17750,1.9480041479478655e-05
17800,2.013284973183117e-11
17850,2.2213820886137872e-05
17900,2.0209931468065316e-11
17950,2.5501136204316016e-05
18000,2.0592578120311373e-11
18050,2.9491196735722937e-05
18100,2.0040660553692678e-11
18150,3.4384888744373879e-05
18200,2.0058698391313558e-11
18250,4.045660993872406e-05
18300,1.9532211608318057e-11
18350,4.8088000398469233e-05
18400,1.9104067227522544e-11
18450,5.7820982361630761e-05
18500,1.8799178528250832e-11
18550,7.0442322949547015e-05
18600,1.8496386305504653e-11
18650,8.7124398699741761e-05
18700,1.8551370285877163e-11
18750,0.00010966490073814337
18800,1.8270719633992332e-11
18850,0.00014091410115886781
18900,2.3764600468656153e-11
18950,0.00018574856302806567
19000,3.273831852178639e-11
19050,0.00025218506383512814
19100,2.7953915395681894e-11
19150,0.00035601093574407156
19200,2.1433798228289938e-11
19250,0.00052823569774727906
19300,2.1209464081981603e-11
19350,0.00083975249173278137
19400,2.1104993598001817e-11
19450,0.0014839235924951507
19500,1.8821562168223449e-11
19550,0.0032079768440851082
19600,2.0134481174001818e-11
19650,0.010232723742143807
19700,2.0670132739895028e-11
19750,0.039838869159590409
19800,1.9688284537878811e-11
19850,0.10377209955089517
19900,1.8369761777614307e-11
19950,0.09408033806588921
20000,2.0377681461456205e-11
20050,0.091021961146176597
20100,1.6737211835426913e-11
20150,0.10059261343000765
20200,2.003315178749092e-11
20250,0.0389911820914145
20300,1.938128747085545e-11
20350,0.010072267076250684
20400,1.8109184684907383e-11
20450,0.0031075436870392288
20500,1.7533366707928469e-11
20550,0.0014114044980915875
20600,1.8443423307900614e-11
20650,0.00078684961026039132
20700,1.88301158608011e-11
20750,0.00048826553009777643
20800,1.8198559194277617e-11
20850,0.00032480949710613302
20900,1.6931705847748296e-11
20950,0.00022717424470494843
21000,2.6264910135312107e-11
21050,0.00016524581643629567
21100,2.6054249979277689e-11
21150,0.00012381289724569766
21200,1.7286464740157632e-11
21250,9.5175781972781648e-05
21300,1.6919739966198944e-11
21350,7.4692271164042618e-05
21400,1.7878228628256838e-11
21450,5.9656426261709238e-05
21500,1.6605779691486817e-11
21550,4.8373193792816964e-05
21600,1.7181773878128936e-11
21650,3.974247935392032e-05
21700,1.7351330032542467e-11
21750,3.3029706614704383e-05
21800,1.6112697944788783e-11
21850,2.7731632098674461e-05
21900,1.6713331840051608e-11
21950,2.349553253013454e-05
22000,1.6953622681223156e-11
22050,2.0069000278308244e-05
22100,1.6115025503512609e-11
22150,1.7268324961824293e-05
22200,1.6613343838526347e-11
22250,1.495762339918404e-05
22300,1.6337182846338184e-11
22350,1.3034758036840251e-05
22400,1.5878483040764547e-11
22450,1.1422133794540407e-05
22500,1.6057278388623969e-11
22550,1.0060068606722212e-05
22600,1.6812908681801028e-11
22650,8.9019922562215156e-06
22700,1.527482925863351e-11
22750,7.9113901721390274e-06
22800,1.6656469261850677e-11
22850,7.059339168739077e-06
22900,1.6398671020534246e-11
22950,6.3225709600048695e-06
23000,1.5909310958658766e-11
23050,5.6824108189022511e-06
23100,1.6015598162259247e-11
23150,5.1237277424487723e-06
23200,1.557636679879216e-11
23250,4.6340182334147433e-06
23300,1.5542396089107533e-11
23350,4.2030791609169363e-06
23400,1.6391767147286601e-11
23450,3.8224979085527642e-06
23500,1.5224963679049001e-11
23550,3.4851405268449892e-06
23600,1.4982964817535484e-11
23650,3.1851270769471668e-06
23700,1.5506881463637473e-11
23750,2.9175413639458082e-06
23800,1.5341372057477455e-11
23850,2.6781050376491624e-06
23900,1.536348363768852e-11
23950,2.4632737967046874e-06
24000,1.5481539479278442e-11
24050,2.2700601813188041e-06
24100,1.4880711962087096e-11
24150,2.0957782578776868e-06
24200,1.5588623754724232e-11
24250,1.9382163255250606e-06
24300,1.4671279558641901e-11
24350,1.7954939289986415e-06
24400,1.4357188807163208e-11
24450,1.6658626863906211e-06
24500,1.4405879130153796e-11
24550,1.5478951112993683e-06
24600,1.5765888192192778e-11
24650,1.4403778408091829e-06
24700,1.4931109760399502e-11
24750,1.3421275371252297e-06
24800,1.5302567155216652e-11
24850,1.2522037216823819e-06
24900,1.5471467428718127e-11
24950,1.1698041344530063e-06
25000,1.4228669214945664e-11
25050,1.0941022884795114e-06
25100,1.5352843478790085e-11
25150,1.0244631455279632e-06
25200,1.5391792245350777e-11
25250,9.6034882385857516e-07
25300,1.4095730724984741e-11
25350,9.0116216146643469e-07
25400,1.4758749481874839e-11
25450,8.4647069100585496e-07
25500,1.4463162732634427e-11
25550,7.9590435223719822e-07
25600,1.4155801477462038e-11
25650,7.4902369806036575e-07
25700,1.452954907920297e-11
25750,7.0552598354138119e-07
25800,1.4355503764909803e-11
25850,6.6516043344378496e-07
25900,1.3561365691131237e-11
25950,6.2758694564712375e-07
26000,1.4144261308900097e-11
26050,5.9259639995149372e-07
26100,1.4044580629532364e-11
26150,5.6001635383614811e-07
26200,1.3751335925722554e-11
26250,5.2957896196780195e-07
26300,1.4329532084294301e-11
26350,5.0113821832062123e-07
26400,1.4046001748898475e-11
26450,4.7457698548262325e-07
26500,1.3624859378687802e-11
26550,4.4967714412771203e-07
26600,1.4412364791886623e-11
26650,4.2633815947170136e-07
26700,1.3191024039401713e-11
26750,4.0448115190375993e-07
26800,1.2989602505665569e-11
26850,3.8392507320061355e-07
26900,1.3791285820942412e-11
26950,3.6460171130684937e-07
27000,1.352629924599031e-11
27050,3.4645930257598844e-07
27100,1.3618038192058398e-11
27150,3.2934341716559432e-07
27200,1.3507852036531131e-11
27250,3.132108283109879e-07
27300,1.3135741240155029e-11
27350,2.9802834166899032e-07
27400,1.3339066825333953e-11
27450,2.8366079366287655e-07
27500,1.3753798064584149e-11
27550,2.7008485025421064e-07
27600,1.3327630349687421e-11
27650,2.572803108469835e-07
27700,1.3365691025778512e-11
27750,2.4512500916698066e-07
27800,1.3053240241579396e-11
27850,2.3361155772400789e-07
27900,1.3091009851477033e-11
27950,2.2272899666165152e-07
28000,1.3315589958481935e-11
28050,2.1236959615211145e-07
28100,1.2693862173108181e-11
28150,2.0253207104698047e-07
28200,1.2604215381238363e-11
28250,1.9321380500115867e-07
28300,1.2942325941456873e-11
28350,1.8431692843939006e-07
28400,1.3032393076571645e-11
28450,1.7584701419819951e-07
28500,1.2859993608400934e-11
28550,1.6780978946156871e-07
28600,1.3464625962386468e-11
28650,1.6011077299345524e-07
28700,1.2028962371649588e-11
28750,1.5276308171270862e-07
28800,1.2378087787746723e-11
28850,1.4577699116522081e-07
28900,1.2633379403158552e-11
28950,1.3906381675970351e-07
29000,1.1829043658052141e-11
29050,1.3264026189826322e-07
29100,1.2920650253149172e-11
29150,1.2651875150231557e-07
29200,1.2269331466711403e-11
29250,1.2061675828073697e-07
29300,1.254882812263176e-11
29350,1.1495528425920685e-07
29400,1.2632542315952719e-11
29450,1.0954780585184124e-07
29500,1.2974104637932037e-11
29550,1.0431440193225493e-07
29600,1.2445645943938627e-11
29650,9.9281369101321845e-08
29700,1.2450726769586602e-11
29750,9.4461041220070652e-08
29800,1.230587889537771e-11
29850,8.9779272909244334e-08
29900,1.2221977416959043e-11
29950,8.5261538613269619e-08
30000,1.2582318709884486e-11
30050,8.0923763763328825e-08
30100,1.2337623551952254e-11
30150,7.6693791783162542e-08
30200,1.1939250845607867e-11
30250,7.2597968995559198e-08
30300,1.2949772794856576e-11
30350,6.865388408509341e-08
30400,1.2215130494414167e-11
30450,6.4789305537137003e-08
30500,1.2048073103874854e-11
30550,6.1035374789655263e-08
30600,1.0794804388623973e-11
30650,5.7408547112558184e-08
30700,1.2499472114805017e-11
30750,5.3838506405984266e-08
30800,1.2242151430760817e-11
30850,5.0356117417968082e-08
30900,1.2332889002413327e-11
30950,4.6978938796811603e-08
31000,1.1861087924364693e-11
31050,4.3636171065147897e-08
31100,1.1921606067215849e-11
31150,4.0365317093649878e-08
31200,1.2036436411463081e-11
31250,3.7177232649744571e-08
31300,1.1087810518468756e-11
31350,3.4007601962779633e-08
31400,1.1968965046985992e-11
31450,3.088881622884849e-08
31500,1.2394707107502372e-11
31550,2.7835149530446649e-08
31600,1.1152467485847508e-11
31650,2.4782798702960868e-08
31700,1.1694843936533306e-11
31750,2.1764814432156892e-08
31800,1.1524100689401386e-11
31850,1.8795430211640677e-08
31900,1.0963734861782467e-11
31950,1.5809567520427252e-08
32000,1.1398157787175434e-11
32050,1.2842311773151721e-08
32100,1.1517295535066691e-11
32150,9.9062614766682063e-09
32200,1.1290304691116497e-11
32250,6.9369153702937454e-09
32300,1.0985308408291153e-11
32350,3.9709433741364534e-09
32400,1.1650686241520556e-11
32450,1.017843109845589e-09
32500,1.0869568183208597e-11
32550,1.9853091196450604e-09
32600,1.1403397233156997e-11
32650,5.0029684658722576e-09
32700,1.1464254897728189e-11
32750,8.0242609574852691e-09
32800,1.1547464874996629e-11
32850,1.1113460964373701e-08
32900,1.104133040239026e-11
32950,1.4235525062222991e-08
33000,1.1259288721103644e-11
33050,1.7381652859086022e-08
33100,1.1206381941426723e-11
33150,2.061574179183244e-08
33200,1.0520665053990267e-11
33250,2.3903372752717233e-08
33300,1.0760985522516729e-11
33350,2.7236102256179979e-08
33400,1.0759954225746523e-11
33450,3.0679735127378587e-08
33500,1.0956083196411401e-11
33550,3.4199387114580094e-08
33600,1.0617043244075292e-11
33650,3.779121802347851e-08
33700,1.0241952020991996e-11
33750,4.1519499978553705e-08
33800,1.0936739618631405e-11
33850,4.5350785455233392e-08
33900,1.107132397991191e-11
33950,4.9285021583351906e-08
34000,9.7556655649881904e-12
34050,5.3387113593466064e-08
34100,1.1338286450386781e-11
34150,5.7625228096006375e-08
34200,1.0635802165056657e-11
34250,6.200200318690936e-08
34300,1.0455633227281719e-11
34350,6.6585194660107029e-08
34400,1.0831308450795239e-11
34450,7.1346489196741596e-08
34500,1.0185465440533897e-11
34550,7.6292417325407608e-08
34600,1.0668448194347524e-11
34650,8.1491862596145747e-08
34700,1.0043631955489005e-11
34750,8.6920547465722854e-08
34800,1.0623919414321461e-11
34850,9.2590759105331589e-08
34900,1.0806615847122852e-11
34950,9.8574674646818515e-08
35000,1.0435438087515116e-11
35050,1.0485486857440302e-07
35100,1.0736789390424261e-11
35150,1.1145002216230162e-07
35200,1.0221932334850577e-11
35250,1.184372534654113e-07
35300,9.9012147147747764e-12
35350,1.2580536634484465e-07
35400,8.963877028655166e-12
35450,1.3358186877158323e-07
35500,1.0172498485735524e-11
