time	V(gate)	V(n002)
3.436928571428824e-007	9.997326e+000	1.000000e+001
3.474071428571684e-007	9.997563e+000	1.000000e+001
3.511214285714543e-007	9.997779e+000	1.000000e+001
3.548357142857403e-007	9.997973e+000	1.000000e+001
3.585500000000263e-007	9.998146e+000	1.000000e+001
3.622642857143123e-007	9.998306e+000	1.000000e+001
3.659785714285983e-007	9.998454e+000	1.000000e+001
3.696928571428843e-007	9.998590e+000	1.000000e+001
3.734071428571703e-007	9.998716e+000	1.000000e+001
3.771214285714563e-007	9.998829e+000	1.000000e+001
3.808357142857423e-007	9.998932e+000	1.000000e+001
3.845500000000283e-007	9.999022e+000	1.000000e+001
3.880214285714571e-007	9.999101e+000	1.000000e+001
3.914928571428859e-007	9.999175e+000	1.000000e+001
3.949642857143148e-007	9.999243e+000	1.000000e+001
3.984357142857436e-007	9.999306e+000	1.000000e+001
4.019071428571725e-007	9.999364e+000	1.000000e+001
4.053785714286013e-007	9.999416e+000	1.000000e+001
4.088500000000301e-007	9.999463e+000	1.000000e+001
4.089500000000301e-007	9.999464e+000	1.000000e+001
4.126785714286018e-007	9.999510e+000	1.000000e+001
4.164071428571735e-007	9.999553e+000	1.000000e+001
4.201357142857452e-007	9.999592e+000	1.000000e+001
4.238642857143169e-007	9.999629e+000	1.000000e+001
4.275928571428887e-007	9.999662e+000	1.000000e+001
4.313214285714603e-007	9.999692e+000	1.000000e+001
4.350500000000321e-007	9.999719e+000	1.000000e+001
4.387928571428895e-007	9.999743e+000	1.000000e+001
4.425357142857469e-007	9.999765e+000	1.000000e+001
4.462785714286043e-007	9.999786e+000	1.000000e+001
4.500214285714617e-007	9.999805e+000	1.000000e+001
4.537642857143192e-007	9.999823e+000	1.000000e+001
4.575071428571766e-007	9.999838e+000	1.000000e+001
4.612500000000340e-007	9.999852e+000	1.000000e+001
4.650214285714629e-007	9.999865e+000	1.000000e+001
4.687928571428918e-007	9.999877e+000	1.000000e+001
4.725642857143206e-007	9.999888e+000	1.000000e+001
4.763357142857494e-007	9.999898e+000	1.000000e+001
4.801071428571783e-007	9.999907e+000	1.000000e+001
4.838785714286072e-007	9.999915e+000	1.000000e+001
4.876500000000360e-007	9.999923e+000	1.000000e+001
4.910214285714648e-007	9.999929e+000	1.000000e+001
4.943928571428936e-007	9.999934e+000	1.000000e+001
4.977642857143224e-007	9.999939e+000	1.000000e+001
5.011357142857514e-007	9.999944e+000	1.000000e+001
5.045071428571802e-007	9.999949e+000	1.000000e+001
5.078785714286090e-007	9.999953e+000	1.000000e+001
5.112500000000378e-007	9.999957e+000	1.000000e+001
5.113500000000378e-007	9.999957e+000	1.000000e+001
5.152357142857524e-007	9.999961e+000	1.000000e+001
5.191214285714669e-007	9.999965e+000	1.000000e+001
5.230071428571816e-007	9.999968e+000	1.000000e+001
5.268928571428961e-007	9.999971e+000	1.000000e+001
5.307785714286107e-007	9.999974e+000	1.000000e+001
5.346642857143252e-007	9.999976e+000	1.000000e+001
5.385500000000398e-007	9.999978e+000	1.000000e+001
5.425928571428972e-007	9.999980e+000	1.000000e+001
5.466357142857548e-007	9.999982e+000	1.000000e+001
5.506785714286122e-007	9.999984e+000	1.000000e+001
5.547214285714696e-007	9.999985e+000	1.000000e+001
5.587642857143270e-007	9.999987e+000	1.000000e+001
5.628071428571845e-007	9.999988e+000	1.000000e+001
5.668500000000420e-007	9.999989e+000	1.000000e+001
5.712071428571852e-007	9.999990e+000	1.000000e+001
5.755642857143283e-007	9.999991e+000	1.000000e+001
5.799214285714715e-007	9.999992e+000	1.000000e+001
5.842785714286147e-007	9.999993e+000	1.000000e+001
5.886357142857579e-007	9.999994e+000	1.000000e+001
5.929928571429010e-007	9.999995e+000	1.000000e+001
5.973500000000442e-007	9.999995e+000	1.000000e+001
5.996785714286159e-007	9.999996e+000	1.000000e+001
6.020071428571875e-007	9.999996e+000	1.000000e+001
6.043357142857591e-007	9.999996e+000	1.000000e+001
6.066642857143306e-007	9.999996e+000	1.000000e+001
