time	V(gate)	V(n002)
5.290967773283089e-006	3.799711e+000	0.000000e+000
5.293624070446029e-006	3.779329e+000	0.000000e+000
5.296589955693017e-006	3.761578e+000	0.000000e+000
5.301489520199628e-006	3.738684e+000	0.000000e+000
5.308299543550046e-006	3.713590e+000	0.000000e+000
5.319676532417005e-006	3.678755e+000	0.000000e+000
5.337498226025097e-006	3.625008e+000	0.000000e+000
5.357029476025097e-006	3.553660e+000	0.000000e+000
5.376560726025097e-006	3.452503e+000	0.000000e+000
5.396091976025097e-006	3.292943e+000	0.000000e+000
5.413094536861922e-006	3.063286e+000	0.000000e+000
5.430262271050946e-006	2.716924e+000	0.000000e+000
5.449793521050946e-006	2.222857e+000	0.000000e+000
5.469324771050945e-006	1.681243e+000	0.000000e+000
5.488856021050945e-006	1.131798e+000	0.000000e+000
5.508387271050945e-006	5.980479e-001	0.000000e+000
5.523558587424001e-006	2.134394e-001	0.000000e+000
5.530585459909637e-006	7.343155e-002	0.000000e+000
5.534146257278570e-006	3.423505e-002	0.000000e+000
5.536924612654948e-006	2.161471e-002	0.000000e+000
5.539020656435191e-006	1.688270e-002	0.000000e+000
5.541220492819851e-006	1.408382e-002	0.000000e+000
5.543648061824468e-006	1.218684e-002	0.000000e+000
5.546175331718092e-006	1.100047e-002	0.000000e+000
5.549161724525995e-006	1.014822e-002	0.000000e+000
5.552364605842951e-006	9.586278e-003	0.000000e+000
5.556529526269763e-006	9.111806e-003	0.000000e+000
5.561278039531086e-006	8.730476e-003	0.000000e+000
5.568137277869440e-006	8.305937e-003	0.000000e+000
5.576741724148236e-006	7.878209e-003	0.000000e+000
5.591589549830651e-006	7.301427e-003	0.000000e+000
5.611120799830651e-006	6.745131e-003	0.000000e+000
5.630652049830651e-006	6.374491e-003	0.000000e+000
5.650183299830651e-006	6.152723e-003	0.000000e+000
5.669714549830651e-006	6.039324e-003	0.000000e+000
5.689245799830651e-006	6.005310e-003	0.000000e+000
5.708777049830651e-006	6.030079e-003	0.000000e+000
5.728308299830651e-006	6.099155e-003	0.000000e+000
5.747839549830651e-006	6.202412e-003	0.000000e+000
5.767370799830651e-006	6.332903e-003	0.000000e+000
5.786902049830651e-006	6.485911e-003	0.000000e+000
5.806433299830651e-006	6.658375e-003	0.000000e+000
5.825964549830650e-006	6.848395e-003	0.000000e+000
5.845495799830650e-006	7.054967e-003	0.000000e+000
5.865027049830650e-006	7.277722e-003	0.000000e+000
5.884558299830651e-006	7.516823e-003	0.000000e+000
5.904089549830651e-006	7.772825e-003	0.000000e+000
5.923620799830651e-006	8.046654e-003	0.000000e+000
5.943152049830651e-006	8.339535e-003	0.000000e+000
5.962683299830651e-006	8.653020e-003	0.000000e+000
5.982214549830651e-006	8.988954e-003	0.000000e+000
6.001745799830651e-006	9.349537e-003	0.000000e+000
6.021277049830651e-006	9.737317e-003	0.000000e+000
6.040808299830651e-006	1.015529e-002	0.000000e+000
6.060339549830651e-006	1.060692e-002	0.000000e+000
6.079870799830651e-006	1.109625e-002	0.000000e+000
6.099402049830651e-006	1.162803e-002	0.000000e+000
6.118933299830651e-006	1.220790e-002	0.000000e+000
6.138464549830651e-006	1.284249e-002	0.000000e+000
6.157995799830650e-006	1.353972e-002	0.000000e+000
6.177527049830650e-006	1.430907e-002	0.000000e+000
6.197058299830650e-006	1.516216e-002	0.000000e+000
6.216589549830651e-006	1.611301e-002	0.000000e+000
6.236120799830651e-006	1.717891e-002	0.000000e+000
6.255652049830651e-006	1.838158e-002	0.000000e+000
6.275183299830651e-006	1.974828e-002	0.000000e+000
6.294714549830651e-006	2.131358e-002	0.000000e+000
6.314245799830651e-006	2.312224e-002	0.000000e+000
6.333777049830651e-006	2.523259e-002	0.000000e+000
6.353308299830651e-006	2.772157e-002	0.000000e+000
6.372839549830651e-006	3.069158e-002	0.000000e+000
6.392370799830651e-006	3.427961e-002	0.000000e+000
6.411902049830651e-006	3.866853e-002	0.000000e+000
6.431433299830651e-006	4.409881e-002	0.000000e+000
6.450964549830651e-006	5.087569e-002	0.000000e+000
6.470495799830650e-006	5.936184e-002	0.000000e+000
6.490027049830650e-006	6.994293e-002	0.000000e+000
6.509558299830650e-006	8.296011e-002	0.000000e+000
6.529089549830651e-006	9.862590e-002	0.000000e+000
6.548620799830651e-006	1.169597e-001	0.000000e+000
6.568152049830651e-006	1.377771e-001	0.000000e+000
6.587683299830651e-006	1.607324e-001	0.000000e+000
6.607214549830651e-006	1.853867e-001	0.000000e+000
6.626745799830651e-006	2.112674e-001	0.000000e+000
6.646277049830651e-006	2.379048e-001	0.000000e+000
6.665808299830651e-006	2.648478e-001	0.000000e+000
6.685339549830651e-006	2.916627e-001	0.000000e+000
6.704870799830651e-006	3.179191e-001	0.000000e+000
6.724402049830651e-006	3.431518e-001	0.000000e+000
6.743933299830651e-006	3.667405e-001	0.000000e+000
6.763464549830651e-006	3.879532e-001	0.000000e+000
6.775919478667361e-006	3.991801e-001	0.000000e+000
6.782237790993815e-006	4.029458e-001	0.000000e+000
6.785181262972561e-006	4.035974e-001	0.000000e+000
6.786860602318235e-006	4.036008e-001	0.000000e+000
6.787757712549058e-006	4.035682e-001	0.000000e+000
6.789023373983463e-006	4.035223e-001	0.000000e+000
6.790109781429151e-006	4.034848e-001	0.000000e+000
6.790982071632127e-006	4.034557e-001	0.000000e+000
6.792152330597723e-006	4.034181e-001	0.000000e+000
6.793085045287771e-006	4.033890e-001	0.000000e+000
6.794135549755856e-006	4.033570e-001	0.000000e+000
6.795110463484972e-006	4.033280e-001	0.000000e+000
6.796041740067383e-006	4.033010e-001	0.000000e+000
6.797169847176547e-006	4.032688e-001	0.000000e+000
6.798185777731413e-006	4.032407e-001	0.000000e+000
6.799582982131441e-006	4.032026e-001	0.000000e+000
6.800856715695889e-006	4.031691e-001	0.000000e+000
6.802864316059589e-006	4.031177e-001	0.000000e+000
6.804746037031933e-006	4.030718e-001	0.000000e+000
6.808509478976622e-006	4.029845e-001	0.000000e+000
6.812138619073639e-006	4.029068e-001	0.000000e+000
6.819396899267672e-006	4.027681e-001	0.000000e+000
6.829486945743349e-006	4.026075e-001	0.000000e+000
6.849018195743349e-006	4.023672e-001	0.000000e+000
6.868549445743349e-006	4.021925e-001	0.000000e+000
6.888080695743350e-006	4.020730e-001	0.000000e+000
6.907611945743350e-006	4.019912e-001	0.000000e+000
6.927143195743350e-006	4.019351e-001	0.000000e+000
6.946674445743350e-006	4.018965e-001	0.000000e+000
6.966205695743350e-006	4.018699e-001	0.000000e+000
6.985736945743350e-006	4.018514e-001	0.000000e+000
7.005268195743350e-006	4.018386e-001	0.000000e+000
7.024799445743350e-006	4.018295e-001	0.000000e+000
7.044330695743350e-006	4.018230e-001	0.000000e+000
7.063861945743350e-006	4.018184e-001	0.000000e+000
7.083393195743350e-006	4.018149e-001	0.000000e+000
7.102924445743349e-006	4.018122e-001	0.000000e+000
7.122455695743349e-006	4.018101e-001	0.000000e+000
7.141986945743349e-006	4.018084e-001	0.000000e+000
7.161518195743349e-006	4.018070e-001	0.000000e+000
7.181049445743349e-006	4.018057e-001	0.000000e+000
7.200580695743349e-006	4.018046e-001	0.000000e+000
7.220111945743350e-006	4.018035e-001	0.000000e+000
7.239643195743350e-006	4.018025e-001	0.000000e+000
7.259174445743350e-006	4.018016e-001	0.000000e+000
7.298236945743350e-006	4.017997e-001	0.000000e+000
7.334509267171921e-006	4.017981e-001	0.000000e+000
7.370781588600493e-006	4.017964e-001	0.000000e+000
7.407053910029064e-006	4.017948e-001	0.000000e+000
7.443326231457635e-006	4.017931e-001	0.000000e+000
7.479598552886207e-006	4.017915e-001	0.000000e+000
7.515870874314778e-006	4.017898e-001	0.000000e+000
7.552143195743350e-006	4.017882e-001	0.000000e+000
9.954486945743349e-006	4.016804e-001	0.000000e+000
9.974018195743350e-006	4.016795e-001	0.000000e+000
9.980468750000000e-006	4.016792e-001	0.000000e+000
9.987098891486699e-006	4.016789e-001	0.000000e+000
9.989999999999999e-006	4.016788e-001	0.000000e+000
9.994197782973399e-006	4.016785e-001	0.000000e+000
1.000000000000000e-005	4.016629e-001	0.000000e+000
1.000001276469429e-005	4.017571e-001	1.276469e-002
1.000003829408287e-005	4.019827e-001	3.829408e-002
1.000006409953299e-005	4.022396e-001	6.409954e-002
1.000009052025005e-005	4.025084e-001	9.052025e-002
1.000014336168418e-005	4.030332e-001	1.433617e-001
1.000024904455243e-005	4.040515e-001	2.490446e-001
1.000046041028894e-005	4.060137e-001	4.604103e-001
1.000088314176194e-005	4.098613e-001	8.831418e-001
1.000133226682073e-005	4.140023e-001	1.332267e+000
1.000175372280591e-005	4.180742e-001	1.753723e+000
1.000217431317892e-005	4.225838e-001	2.174313e+000
